Year,Angola,Turkey,Sudan,Bulgaria,Zimbabwe
1983,0.01276356,26.25824542,26.05805905,-0.645271728,-10.50150468
1984,0.001188112,48.23683261,33.6368828,2.736748496,-16.59474773
1985,19.03520574,53.05447687,46.16914524,0.229177129,-17.01665902
1986,-9.01306192,36.00688555,28.64255664,1.345489614,8.025883095
1987,9.823311352,33.61222903,25.89135325,0.0638388,7.189361312
1988,2.213774449,69.01813111,78.86259634,-5.389743836,7.785116695
1989,16.27966269,75.40483061,36.73865193,6.729684134,0.79293287
1990,14.00743982,58.24439811,66.23558835,26.18800066,-0.920431046
1991,106.3099823,59.16410689,88.77284578,226.5378598,-6.777300063
1992,476.5157509,65.19943828,109.2336552,59.57864944,-14.12965833
1993,917.7834684,68.37942836,97.48734825,51.09105375,-3.791122172
1994,2175.978955,104.7491372,159.2669752,72.70496847,-3.895672593
1995,1825.495149,86.00754244,104.5550287,135.9717891,3.038538292
1996,4800.531644,77.22351222,32.56225389,63.0693806,8.984383325
1997,95.45302218,81.45486258,47.58344731,914.1260514,-2.879048133
1998,39.35934833,143.6396616,17.66227094,33.31371663,-27.04864928
1999,557.5011131,54.2799583,15.82357794,3.189501627,8.006813278
2000,418.0189915,49.36077624,9.853136581,7.181202287,0.627900034
2001,106.3521255,52.97976068,1.607103162,6.124344019,-0.130890201
2002,196.9841052,37.57482083,7.388972499,3.768886511,2.712950297
2003,93.92685444,23.28928099,9.670060748,2.272325531,8.801275563
2004,33.44017865,12.42751108,15.67380935,5.649571384,7.611524353
2005,42.3755606,7.085416129,8.624863759,6.497564076,5.136601077
2006,17.11809761,9.376206364,9.376786713,6.756898399,-2.017678703
2007,4.30841553,6.199758203,6.669433968,11.08352259,0.894886848
2008,19.3699206,12.04615359,14.24958389,8.131471791,1.349222474
2009,-16.76108205,5.446449103,3.95947682,4.048805756,95.40865975
2010,32.26344232,7.009283603,19.58057146,1.145840251,4.098404937
2011,31.77154919,8.200847093,20.36971133,5.941996946,2.55317575
2012,7.255670453,7.422673287,21.34240792,1.527228466,4.028576874
2013,2.839789071,6.280109697,27.95531418,-0.668632343,9.370602888
2014,3.560820798,7.389518638,37.61861549,0.460887325,-0.252140994
2015,-3.518386388,7.84491693,8.541125,2.442392477,0.607813919
2016,21.77424002,8.130478078,15.57117246,2.537512297,2.160992696
2017,22.61451153,10.98242167,28.74352157,3.94290703,10.78103758
2018,29.06595449,16.48528446,57.11773314,4.012248585,61.31098638
2019,28.09067716,13.90620743,49.96919057,5.250219041,350
2020,15.09699747,14.82746716,111.7861069,3.316993904,610